Index,LM_ID,MAIN_CLASS,SUB_CLASS,EXACT_MASS,FORMULA,SMILES,NAME,rotatablePercent,oxygenNumber,doublebondNumber,OHBondNumber,doublebondNumberCanBreak,DoubleBondInChain,isSugar
27,LMST01010100,Sterols [ST01],Cholesterol and derivatives [ST0101],416.329045,C27H44O3,C[C@H](CO)CCC(=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Dormatinone,0.18181818181818182,3,1,2,0,No,No
28,LMST01010101,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,C[C@H](CO)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Dormantinol,0.18181818181818182,3,1,3,0,No,No
29,LMST01010103,Sterols [ST01],Cholesterol and derivatives [ST0101],574.314185,C32H46O9,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C,Cucurbitacin A,0.13636363636363635,9,2,3,1,Yes,No
30,LMST01010104,Sterols [ST01],Cholesterol and derivatives [ST0101],558.31927,C32H46O8,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin B,0.11627906976744186,8,2,3,1,Yes,No
31,LMST01010105,Sterols [ST01],Cholesterol and derivatives [ST0101],560.33492,C32H48O8,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C,Cucurbitacin C,0.13953488372093023,8,2,3,1,Yes,No
32,LMST01010106,Sterols [ST01],Cholesterol and derivatives [ST0101],516.308705,C30H44O7,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin D,0.1,7,2,4,1,Yes,No
33,LMST01010107,Sterols [ST01],Cholesterol and derivatives [ST0101],556.30362,C32H44O8,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin E,0.11627906976744186,8,3,2,1,Yes,No
34,LMST01010108,Sterols [ST01],Cholesterol and derivatives [ST0101],518.324355,C30H46O7,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin F,0.1,7,2,5,1,Yes,No
35,LMST01010109,Sterols [ST01],Cholesterol and derivatives [ST0101],534.31927,C30H46O8,CC1(C)C(=O)[C@@H](O)C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)CC(O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C,Cucurbitacin H,0.12195121951219512,8,1,5,0,No,No
36,LMST01010110,Sterols [ST01],Cholesterol and derivatives [ST0101],514.293055,C30H42O7,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin I,0.1,7,3,3,1,Yes,No
37,LMST01010111,Sterols [ST01],Cholesterol and derivatives [ST0101],532.30362,C30H44O8,CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)CC(O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C,Cucurbitacin J,0.12195121951219512,8,2,4,0,No,No
38,LMST01010112,Sterols [ST01],Cholesterol and derivatives [ST0101],516.308705,C30H44O7,CC(C)(O)CCC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin L,0.125,7,2,3,0,No,No
39,LMST01010113,Sterols [ST01],Cholesterol and derivatives [ST0101],518.324355,C30H46O7,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin O,0.1,7,2,5,1,Yes,No
40,LMST01010114,Sterols [ST01],Cholesterol and derivatives [ST0101],520.340005,C30H48O7,CC(C)(O)CCC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin P,0.125,7,1,5,0,No,No
41,LMST01010115,Sterols [ST01],Cholesterol and derivatives [ST0101],560.33492,C32H48O8,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,Cucurbitacin Q,0.11627906976744186,8,2,4,1,Yes,No
42,LMST01010116,Sterols [ST01],Cholesterol and derivatives [ST0101],498.29814,C30H42O6,C[C@@H]1C(=O)C[C@@H](C(C)(C)O)O[C@@H]2C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]3(C)[C@@H]12,Cucurbitacin S,0.025,6,2,1,0,No,No
43,LMST01010120,Sterols [ST01],Cholesterol and derivatives [ST0101],430.30831,C27H42O4,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H](C2=C[C@@H]3O[C@@]34C[C@@H](O)CC[C@]4(C)C2=O)[C@]1(C)CC=O,"3beta-Hydroxy-5alpha,6alpha-epoxy-9-oxo-9,10-seco-5-cholest-7-en-11-al",0.23529411764705882,4,1,1,0,No,No
44,LMST01010121,Sterols [ST01],Cholesterol and derivatives [ST0101],382.323565,C27H42O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,7-dehydro-desmosterol,0.12903225806451613,1,3,1,1,Yes,No
45,LMST01010122,Sterols [ST01],Cholesterol and derivatives [ST0101],400.33413,C27H44O2,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)C[C@H](O)[C@]4(C)[C@H]3CC[C@@]21C,"Cholesta-5,7-diene-1,3-diol",0.15625,2,2,2,0,No,No
46,LMST01010123,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)C[C@H](O)[C@]4(C)[C@H]3CC[C@@]21C,"1,25-Dihydroxycholesterol",0.15151515151515152,3,1,3,0,No,No
47,LMST01010124,Sterols [ST01],Cholesterol and derivatives [ST0101],442.38108,C30H50O2,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(CO)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,32-hydroxylanosterol,0.14285714285714285,2,2,1,1,Yes,No
48,LMST01010128,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,C[C@H](CC[C@H](O)C(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"24S,25-dihydroxycholesterol",0.15151515151515152,3,1,3,0,No,No
49,LMST01010129,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,CC(CO)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"24S,27-dihydroxycholesterol",0.18181818181818182,3,1,3,0,No,No
50,LMST01010131,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,C[C@H](CCCC(C)(O)CO)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"25,27-dihydroxycholesterol",0.18181818181818182,3,1,2,0,No,No
51,LMST01010132,Sterols [ST01],Cholesterol and derivatives [ST0101],418.344695,C27H46O3,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(O)=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"6,24S-dihydroxycholesterol",0.15151515151515152,3,1,3,0,No,No
52,LMST01010133,Sterols [ST01],Cholesterol and derivatives [ST0101],400.33413,C27H44O2,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,24-oxocholesterol,0.15625,2,1,1,0,No,No
53,LMST01010136,Sterols [ST01],Cholesterol and derivatives [ST0101],400.370515,C28H48O,CC(C)CCCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)CC1CC3,,0.15625,1,1,1,0,No,No
54,LMST01010137,Sterols [ST01],Cholesterol and derivatives [ST0101],400.370515,C28H48O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,0.15625,1,1,1,0,No,No
55,LMST01010138,Sterols [ST01],Cholesterol and derivatives [ST0101],400.370515,C28H48O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,0.15625,1,1,1,0,No,No
56,LMST01010141,Sterols [ST01],Cholesterol and derivatives [ST0101],426.386165,C30H50O,CC(C)CCCC(C)[C@H]1CC[C@@]2(C)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,,0.14705882352941177,1,2,1,0,No,No
57,LMST01010142,Sterols [ST01],Cholesterol and derivatives [ST0101],426.386165,C30H50O,CC(C)=CCCC(C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,,0.11764705882352941,1,2,1,1,Yes,No
58,LMST01010143,Sterols [ST01],Cholesterol and derivatives [ST0101],412.370515,C29H48O,CC(C)=CCCC(C)C1CCC2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)C1CC3,,0.12121212121212122,1,2,1,1,Yes,No
59,LMST01010149,Sterols [ST01],Cholesterol and derivatives [ST0101],410.354865,C29H46O,CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,"4,4-dimethylcholesta-8,11,24-trienol",0.12121212121212122,1,3,1,1,Yes,No
60,LMST01010152,Sterols [ST01],Cholesterol and derivatives [ST0101],428.329045,C28H44O3,CC(C)=CCC[C@@H](C)[C@H]1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C(=O)O)[C@@H]1CC3,4alpha-carboxy-zymosterol,0.14705882352941177,3,2,2,1,Yes,No
61,LMST01010158,Sterols [ST01],Cholesterol and derivatives [ST0101],512.298535,C27H44O9,C[C@@](O)(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3[C@H](O)C[C@]12C,"(25S)-11alpha,20,26-trihydroxyecdysone",0.15384615384615385,9,1,7,0,No,No
62,LMST01010164,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)[C@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,(24R)-24-hydroxycholesterol,0.15625,2,1,2,0,No,No
63,LMST01010167,Sterols [ST01],Cholesterol and derivatives [ST0101],396.339215,C28H44O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CCC(=O)C(C)[C@@H]1CC3,3-dehydro-4-methylzymosterol,0.125,1,2,0,1,Yes,No
64,LMST01010168,Sterols [ST01],Cholesterol and derivatives [ST0101],382.323565,C27H42O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CCC(=O)C[C@@H]1CC3,Zymosterone,0.12903225806451613,1,2,0,1,Yes,No
65,LMST01010169,Sterols [ST01],Cholesterol and derivatives [ST0101],414.34978,C28H46O2,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(CO)[C@@H]1CC3,zymosterol intermediate 1a,0.15151515151515152,2,2,2,1,Yes,No
66,LMST01010170,Sterols [ST01],Cholesterol and derivatives [ST0101],426.34978,C29H46O2,CC(=O)C1[C@@H](O)CC[C@]2(C)C3=C(CC[C@@H]12)[C@@H]1CC[C@H]([C@H](C)CCC=C(C)C)[C@@]1(C)CC3,zymosterol intermediate 1c,0.14705882352941177,2,2,1,1,Yes,No
67,LMST01010171,Sterols [ST01],Cholesterol and derivatives [ST0101],412.33413,C28H44O2,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C=O)[C@@H]1CC3,zymosterol intermediate 1b,0.15151515151515152,2,2,1,1,Yes,No
68,LMST01010172,Sterols [ST01],Cholesterol and derivatives [ST0101],462.29814,C27H42O6,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4CC(=O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,3-dehydroecdysone,0.1388888888888889,6,1,4,0,No,No
69,LMST01010173,Sterols [ST01],Cholesterol and derivatives [ST0101],548.40769,C33H56O6,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C,cholesteryl beta-D-glucoside,0.18604651162790697,6,1,4,0,No,Yes
70,LMST01010175,Sterols [ST01],Cholesterol and derivatives [ST0101],444.360345,C29H48O3,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@](C)(C(=O)O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylic acid,0.17142857142857143,3,1,1,0,No,No
71,LMST01010176,Sterols [ST01],Cholesterol and derivatives [ST0101],412.370515,C29H48O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,14-demethyllanosterol,0.12121212121212122,1,2,1,1,Yes,No
72,LMST01010177,Sterols [ST01],Cholesterol and derivatives [ST0101],512.298535,C27H44O9,CC(C)(O)[C@H](O)C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3[C@H](O)C[C@]12C,"(24R)-11alpha,20,24-trihydroxyecdysone",0.1282051282051282,9,1,8,0,No,No
73,LMST01010178,Sterols [ST01],Cholesterol and derivatives [ST0101],512.298535,C27H44O9,C[C@](O)(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3[C@H](O)C[C@]12C,"(25R)-11alpha,20,26-trihydroxyecdysone",0.15384615384615385,9,1,7,0,No,No
74,LMST01010179,Sterols [ST01],Cholesterol and derivatives [ST0101],416.329045,C27H44O3,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"2,22,25-trideoxyecdysone",0.15151515151515152,3,1,2,0,No,No
75,LMST01010180,Sterols [ST01],Cholesterol and derivatives [ST0101],462.29814,C27H42O6,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)C(=O)C[C@]4(C)[C@H]3CC[C@]12C,2-dehydroecdysone,0.1388888888888889,6,1,4,0,No,No
76,LMST01010181,Sterols [ST01],Cholesterol and derivatives [ST0101],544.280123,C27H45O9P,CC(C)(O)CC[C@@H](OP(=O)(O)O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2-deoxy-20-hydroxyecdysone 22-phosphate,0.175,9,1,4,0,No,No
77,LMST01010182,Sterols [ST01],Cholesterol and derivatives [ST0101],448.318875,C27H44O5,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2-deoxyecdysone,0.14285714285714285,5,1,4,0,No,No
78,LMST01010183,Sterols [ST01],Cholesterol and derivatives [ST0101],528.285208,C27H45O8P,C[C@H]([C@@H](CCC(C)(C)O)OP(=O)(O)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2-deoxyecdysone 22-phosphate,0.1794871794871795,8,1,3,0,No,No
79,LMST01010184,Sterols [ST01],Cholesterol and derivatives [ST0101],496.30362,C27H44O8,CC(O)(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,"20,26-dihydroxyecdysone",0.15789473684210525,8,1,6,0,No,No
80,LMST01010185,Sterols [ST01],Cholesterol and derivatives [ST0101],560.275038,C27H45O10P,CC(C)(O)CC[C@@H](OP(=O)(O)O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,20-hydroxyecdysone 22-phosphate,0.17073170731707318,10,1,5,0,No,No
